"Gold Filled Beads","14K Gold Filled Round Beads Bulk, 2mm/2.5mm/3mm/4mm/5mm Beads, Seamless Beads for Jewelry Making, Jewelry Findings Wholesale"
"Spring Ring Clasp","5pcs 14K Gold Filled Spring Ring Clasp, 5mm/5.5mm/6mm, Clasps for Jewelry Making, Jewelry findings bulk wholesale"
"Ball End Ear Wire","14K Gold Filled Ball End Ear Wire, Earring Findings for Jewelry Making, Jewelry Findings"
"Open Jump Ring","10pcs 14K Gold Filled Open Jump Rings, 3mm/4mm/5mm, Gold Filled Findings, Supplies for Jewelry Making, Jewelry Findings Wholesale"
"Wheat Round Earrings","2 Pairs, Gold Plated Wheat Round Earring Findings, with Sterling Silver Posting, Earring Post with loop, Jewelry Findings"
"Star Heart Moon Charm","2pcs 14K Gold Filled Wire Star Moon Heart Charm, Gold Filled Findings for Jewelry Making"
"Ear Hooks","14K Gold Filled Earring Hooks, Ear Wires with Coil, Earring Findings for Jewelry Making, Jewelry Findings"
"Crimp Cover","10pcs 14K Gold Filled Crimp Covers, 3mm/4mm, Findings for Jewelry Making Wholesale"
"Rose Gold Filled Butterfly Backing","10pcs 14K Rose Gold Filled Earring Butterfly Backings, 3.8*4.6mm, Rose Gold Filled Earnuts, Earring Backs for Studs"
"Clamshell Crimp Cover","10pcs 14K Gold Filled Clamshell Bead Tip with 2 Rings, Crimp Cover 3.5x7mm,  Knot Cover for Jewelry Making, Jewelry Findings Wholesale"
"Leverback Earring","14K Gold Filled Leverback Earring Findings, Standard/Interchangeable Leverback, Jewelry findings bulk wholesale"
"Star Rhinestone Earrings","2 Pairs Gold Plated Star Rhinestone Earring Findings, Sterling Silver Posting, Earring Post with loop, Earring Findings for Jewelry Making"
"Ear Wire Beading Hoop","14K Gold Filled Ear Wire Beading Hoops, 15mm/20mm/25mm/30mm, Earring Findings for Jewelry Making, Earring Component Accessories"
"Round Earrings with Rhinestones","2 Pairs Gold Plated Round Earring Findings with Rhinestones, Sterling Silver Posting, Earring Post with loop, Jewelry Findings"
"Pearl Cup Post Earrings","3 Pairs 4mm 14K Gold Filled Pearl Cup Post Earring Mounting, Pearl Set,  Earring Findings for Jewelry Making, Earring Component"
"Chain Tab Connector","10pcs 14K Gold Filled Chain Tab Connector, Thin Quality Tags, Cord End, Chain Connector for Jewelry Making, Jewelry Findings"
"Sun Charm","2PCS 14K Gold Filled Sun Charm 9x11mm, Pendant Findings for Jewelry Making"
"Thin Hoop Earrings","1 Pair 14K Gold Filled Thin Hoop Earrings, 12mm/14mm, 1.25mm Thickness, Earring Findings for Jewelry Making"
"Shell Charm","2PCS 14K Gold Filled Shell Charm 7.8x8.8mm, Pendant Findings for Jewelry Making"
"Gold Filled Butterfly Backing","10pcs 14K Gold Filled Earring Butterfly Backings, 3.8*4.6mm, Gold Filled Earnuts, Earring Backs for Studs, Jewelry findings bulk wholesale"
"Cloud Shaped Earrings","2 Pairs, Matte Gold Plated Cloud Shape Earring Findings, with Sterling Silver Posting, Earring Post with loop, Jewelry Findings"
"Starfish Zircon Earrings","2 Pairs Gold Plated Starfish Zircon Earring Findings, Sterling Silver Posting, Earring Post with loop, Earring Findings for Jewelry Making"
"Zircon Earrings","2 Pairs, Shell Gold Plated Zircon Earring Findings, with Sterling Silver Posting, Earring Post with loop, Jewelry Findings"
"Rose Gold Filled Beads","14K Rose Gold Filled Round Beads Bulk, 2mm/3mm/4mm Beads, Seamless Beads for Jewelry Making, Jewelry Findings Wholesale"
"Ball Post Earrings","14K Gold Filled 4mm Ball Post Earring Findings, Earring Post with loop, Gold Filled Studs for Jewelry Making, Jewelry Findings"
"Patterned Square Earrings","2 Pairs, Gold Plated Patterned Square Earring Findings, with Sterling Silver Posting, Earring Post with loop, Jewelry Findings"
"Triangle Earrings","2 Pairs Gold Plated Triangle Earring Findings with Rhinestones, Sterling Silver Posting, Zircon Earring Post with loop, Jewelry Findings"
"Rose Gold Filled Leverback Earrings","14K Rose Gold Filled Leverback Earring Findings, Jewelry findings bulk wholesale"
"Butterfly Charm","2PCS 14K Gold Filled Butterfly Charm 7x5mm, Pendant Findings for Jewelry Making"
"Leaf Charm","2PCS 14K Gold Filled Leaf Charm 8x14mm, Pendant Findings for Jewelry Making"
"Knot Earrings","2 Pairs Gold Plated Knot Earring Findings, with Sterling Silver Posting, Jewelry Making Supplies, Earring Component Accessories"
"Chunky Huggie Hoop Earrings","2 Pairs Gold Plated Chunky Huggie Hoops Earring Findings, Earring Supplies for Jewelry Making, Gold Plated Round Hoops"
"Round Tag Disc","14K Gold Filled Round Tag Disc, Thick Blank Stamping Tags 9mm x 0.8mm"
"Sterling Silver Ear Wire Beading Hoops","2 pairs Sterling Silver Ear Wire Beading Hoops, 20mm 30mm, Earring Findings Sterling Silver, Jewelry findings bulk wholesale"
"Round Zircon Earrings","2 Pairs, Gold Plated Round Zircon Earring Findings, with Sterling Silver Posting, Earring Post with loop, Jewelry Findings"
"Flower Shaped Rhinestone Earrings","2 Pairs Gold Plated Flower Shaped Rhinestone Earring Findings, with Sterling Silver Posting, Earring Post with loop, Jewelry Findings"
"Rose Gold Filled Ball Post Earrings","14K Rose Gold Filled Ball Post Earring Findings, Earring Post with loop, Gold Filled Studs for Jewelry Making, Jewelry Findings"
"Sterling Silver Butterfly Backing","20pcs Sterling Silver Earring Butterfly Backing, 3.8*4.6mm, Earring Findings Sterling Silver, Jewelry findings bulk wholesale"
"Sterling Silver Leverback Earrings","2 pairs Sterling Silver Leverback Earring Findings, Earring Findings Sterling Silver, Jewelry findings bulk wholesale"
"Ear Wire with Open Hoop","2 Pairs 14K Gold Filled Ear Wires with Open Loops, Earring Findings for Jewelry Making 20x12mm"
"Coin Pendant Earrings","2 Pairs Gold Plated Coin Pendant Earring Findings, with Sterling Silver Posting, Earring Post with loop, Earring Post for Jewelry Making"
"Flower Shaped Pearl Ear Posting Finding","2 Pairs Gold Plated Flower Shaped Pearl Ear Posting Findings 5mm Cup, with Sterling Silver Posting, Pearl Set Post for Jewelry Making"
"Patterned Heart Earrings","2 Pairs Gold Plated Patterned Heart Earring Findings, with Sterling Silver Posting, Earring Post with loop, Earring Post for Jewelry Making"
"Round Circle Earrings","2 Pairs Gold Plated Round Circle Earring Findings, with Sterling Silver Posting"
"Shell Shaped Earrings","2 Pairs, Shell Shaped Earring Findings, with Sterling Silver Posting, Earring Post with loop for Jewelry Making, Jewelry Findings"
"Heart Earrings","2 Pairs Gold Plated Heart Earring Findings, with Sterling Silver Posting, Earring Post with loop, Jewelry Findings"
"Star Earrings","2 Pairs Gold Plated Star Earring Findings, with Sterling Silver Posting, Earring Post with loop, Jewelry Findings"
"Huggie Hoop","2 Pairs Gold Plated Huggie Hoops Earring Findings with Loops, Earring Supplies for Jewelry Making, Gold Plated Round Hoops"
"Long Knot Earrings","2 Pairs Gold Plated Long Knot Earring Findings, with Sterling Silver Posting, Earring Post with loop, Earring Post for Jewelry Making"
"Zircon Rhinestone Earrings","2 Pairs Gold Plated Zircon Rhinestone Earring Findings, Sterling Silver Posting, Earring Post with loop, Jewelry Findings"
"Twisted Hoop Earrings","2 Pairs, Gold Plated Twisted Hoop Earring Findings, with Sterling Silver Posting, Earring Post with loop, Jewelry Findings"
"CZ Stone Huggie Hoop Earrings","2 Pairs Gold Plated Huggie Hoops, CZ Stone Paved Huggies, Earring Findings with Loops for Jewelry Making, Gold Plated Round Earring Supplies"
"Clear CZ Charm","2PCS 14K Gold Filled Clear CZ Charm 3mm, Pendant Findings for Jewelry Making"
"Dolphin Charm","2PCS 14K Gold Filled Dolphin Charm 11x8mm, Pendant Findings for Jewelry Making"
"Heart Charm","2PCS 14K Gold Filled Heart Charm 4.8x6mm, Pendant Findings for Jewelry Making"
"Starfish Charm","2PCS 14K Gold Filled Starfish Charm 9.8 x 7.9mm, Pendant Findings for Jewelry Making"
"Turtle Charm","2PCS 14K Gold Filled Turtle Charm 14mm, Pendant Findings for Jewelry Making"
"OT Toggle","1 Set 9mm/11mm 14K Gold Filled Toggle Clasp for Jewelry Making, Jewelry findings bulk wholesale"
"Cable Thimble","10pcs 14K Gold Filled Cable Thimble 0.53mm/0.02'' Hole, Jewelry Findings for Jewelry Making Wholesale"